,timestamp,us,acc,ang,label
0,52:08.4,1012464,1035.9847,2.2784443,0
1,52:08.4,1044468,1033.4202,2.2384832,0
2,52:08.4,1076472,1038.208,2.4399157,0
3,52:08.5,1108476,1037.032,2.4063697,0
4,52:08.5,1140476,1038.3076,2.1538281,0
5,52:08.5,1172476,1037.0735,2.200191,0
6,52:08.6,1204472,1037.3519,2.4065993,0
7,52:08.6,1236472,1038.3412,2.5695887,0
8,52:08.7,1268480,1031.3844,2.3703978,0
9,52:08.7,1300492,1038.4645,2.3161967,0
10,52:08.7,1332492,1035.038,2.1216989,0
11,52:08.7,1364500,1034.6462,2.1191871,0
12,52:08.8,1396492,1037.0267,2.1823003,0
13,52:08.8,1428488,1038.2749,2.2390161,0
14,52:08.8,1460484,1034.8462,2.0371628,0
15,52:08.9,1492484,1036.0902,2.0999968,0
16,52:08.9,1524492,1034.9913,2.2934167,0
17,52:08.9,1556496,1036.0231,2.6110928,0
18,52:09.0,1588480,1035.8383,2.4803042,0
19,52:09.0,1620476,1035.2432,2.5002308,0
20,52:09.0,1652464,1038.6833,2.50386,0
21,52:09.0,1684472,1039.8823,2.5561318,0
22,52:09.1,1716476,1036.2456,2.1651087,0
23,52:09.1,1748472,1039.8624,1.9140356,0
24,52:09.2,1780456,1039.921,2.4310248,0
25,52:09.2,1812448,1038.4382,2.4036105,0
26,52:09.2,1844440,1039.0341,2.3577914,0
27,52:09.3,1876436,1037.2028,2.2551153,0
28,52:09.3,1908432,1036.7949,2.4367409,0
29,52:09.3,1940440,1032.5275,2.4187586,0
30,52:09.3,1972444,1031.5938,2.4897673,0
31,52:09.4,2004448,1039.9504,2.3094015,0
32,52:09.4,2036444,1038.0323,2.4973421,0
33,52:09.4,2068440,1040.8781,2.2987785,0
34,52:09.5,2100448,1035.5637,2.0834394,0
35,52:09.5,2132448,1036.2479,2.2708952,0
36,52:09.5,2164452,1036.313,2.3874154,0
37,52:09.6,2196452,1037.8383,2.308393,0
38,52:09.6,2228452,1034.8524,2.4159656,0
39,52:09.6,2260456,1039.4427,2.2171106,0
40,52:09.7,2292448,1035.8613,2.2001643,0
41,52:09.7,2324436,1036.9125,2.2358551,0
42,52:09.7,2356432,1037.3949,2.5138593,0
43,52:09.8,2388436,1033.9154,2.2977781,0
44,52:09.8,2420444,1038.3125,2.1860578,0
45,52:09.8,2452444,1037.5016,2.4859185,0
46,52:09.9,2484448,1041.2062,2.3855252,0
47,52:09.9,2516440,1041.0544,2.4219692,0
48,52:09.9,2548436,1038.0585,2.3904977,0
49,52:09.9,2580444,1032.0243,2.5416191,0
50,52:10.0,2612432,1035.0193,2.3997569,0
51,52:10.0,2644444,1037.2194,2.3857081,0
52,52:10.0,2676444,1034.4888,2.4564874,0
53,52:10.1,2708456,1035.1174,2.284045,0
54,52:10.1,2740448,1036.8788,2.1815934,0
55,52:10.2,2772452,1037.8577,2.1149392,0
56,52:10.2,2804456,1040.4841,2.4117336,0
57,52:10.2,2836452,1040.7734,2.2530625,0
58,52:10.3,2868456,1036.5085,2.4484177,0
59,52:10.3,2900456,1037.9706,2.3925178,0
60,52:10.3,2932460,1033.366,2.389024,0
61,52:10.3,2964460,1037.2915,2.108489,0
62,52:10.4,2996464,1035.6282,2.3888412,0
63,52:10.4,3028468,1037.5161,2.1398377,0
64,52:10.4,3060472,1037.3282,2.2245803,0
65,52:10.5,3092468,1038.2919,2.5035694,0
66,52:10.5,3124476,1034.5828,2.2121298,0
67,52:10.5,3156476,1035.3113,2.4110458,0
68,52:10.6,3188464,1036.7953,2.1072741,0
69,52:10.6,3220468,1035.5082,2.3110015,0
70,52:10.6,3252460,1037.9066,2.1909251,0
71,52:10.7,3284460,1035.0924,2.348726,0
72,52:10.7,3316460,1037.1235,2.2052646,0
73,52:10.7,3348452,1036.4403,2.3207786,0
74,52:10.8,3380456,1038.6187,2.2051589,0
75,52:10.8,3412460,1040.4628,2.3057439,0
76,52:10.8,3444456,1039.4648,2.2987912,0
77,52:10.8,3476464,1041.5363,2.4970157,0
78,52:10.9,3508468,1035.8275,2.2179897,0
79,52:10.9,3540480,1034.4469,2.247514,0
80,52:10.9,3572476,1035.6351,2.3737595,0
81,52:11.0,3604488,1040.1837,2.4711349,0
82,52:11.0,3636484,1042.1373,2.8512917,0
83,52:11.0,3668476,1033.5369,2.6771457,0
84,52:11.1,3700484,1038.7097,2.2042613,0
85,52:11.1,3732492,1037.2214,2.6114159,0
86,52:11.2,3764484,1041.0298,2.4639285,0
87,52:11.2,3796484,1035.5662,2.1613955,0
88,52:11.2,3828484,1037.8563,2.4921043,0
89,52:11.2,3860488,1034.6515,2.3659613,0
90,52:11.3,3892488,1035.4457,2.0721779,0
91,52:11.3,3924488,1035.8958,2.3241746,0
92,52:11.3,3956492,1038.2242,2.3872449,0
93,52:11.4,3988496,1039.7489,2.5323844,0
94,52:11.4,4020508,1039.3137,2.4034772,0
95,52:11.4,4052508,1036.3658,2.4777215,0
96,52:11.4,4084508,1038.9614,2.4178801,0
97,52:11.5,4116512,1036.3591,2.2735851,0
98,52:11.5,4148516,1035.5219,2.4836814,0
99,52:11.6,4180528,1037.0862,2.470063,0
100,52:11.6,4212528,1036.5907,2.4422286,0
101,52:11.6,4244532,1039.7064,2.3226087,0
102,52:11.7,4276532,1035.6199,2.2175434,0
103,52:11.7,4308540,1035.7338,2.4400349,0
104,52:11.7,4340540,1040.257,2.531281,0
105,52:11.7,4372540,1037.0394,2.423579,0
106,52:11.8,4404544,1038.3802,2.4998581,0
107,52:11.8,4436560,1032.9608,2.2379758,0
108,52:11.8,4468572,1037.6266,2.3158827,0
109,52:11.9,4500572,1036.9869,2.428833,0
110,52:11.9,4532580,1037.6272,2.4178081,0
111,52:12.0,4564584,1036.7417,2.2328725,0
112,52:12.0,4596588,1036.5542,2.3866596,0
113,52:12.0,4628592,1039.9463,2.2140102,0
114,52:12.0,4660596,1036.9454,2.4573519,0
115,52:12.1,4692604,1038.7463,2.352057,0
116,52:12.1,4724612,1036.8535,2.2480059,0
117,52:12.1,4756612,1034.4017,2.3430688,0
118,52:12.2,4788620,1037.6628,2.2559927,0
119,52:12.2,4820628,1038.3671,2.4444203,0
120,52:12.2,4852628,1037.3484,2.4345062,0
121,52:12.3,4884620,1037.7377,2.1668556,0
122,52:12.3,4916636,1034.0427,2.3001454,0
123,52:12.3,4948620,1034.3843,2.4510312,0
124,52:12.4,4980612,1038.1418,2.3948765,0
125,52:12.4,5012616,1038.095,2.2501411,0
126,52:12.4,5044616,1035.761,2.4061761,0
127,52:12.5,5076616,1037.9279,2.3716743,0
128,52:12.5,5108624,1036.369,2.3803957,0
129,52:12.5,5140628,1038.3492,2.4451823,0
130,52:12.5,5172632,1038.1105,2.1648264,0
131,52:12.6,5204628,1039.8262,2.4497604,0
132,52:12.6,5236636,1034.385,2.2596793,0
133,52:12.6,5268644,1041.6254,2.3588529,0
134,52:12.7,5300652,1037.9739,2.5194452,0
135,52:12.7,5332660,1034.1777,2.4142904,0
136,52:12.8,5364656,1034.0353,2.4777215,0
137,52:12.8,5396660,1036.2183,2.5458295,0
138,52:12.8,5428660,1036.8619,2.2716644,0
139,52:12.8,5460664,1033.0697,2.4058735,0
140,52:12.9,5492664,1041.9351,2.180846,0
141,52:12.9,5524668,1037.2346,2.5031972,0
142,52:12.9,5556660,1036.6932,2.4077117,0
143,52:13.0,5588660,1038.818,2.2859936,0
144,52:13.0,5620676,1037.87,2.436024,0
145,52:13.0,5652688,1033.9484,2.2510982,0
146,52:13.1,5684696,1036.6101,2.0783484,0
147,52:13.1,5716692,1034.5585,2.2586486,0
148,52:13.1,5748704,1035.6425,2.1855385,0
149,52:13.1,5780708,1037.6006,2.1808195,0
150,52:13.2,5812708,1038.2338,2.2565732,0
151,52:13.2,5844712,1033.8506,2.023962,0
152,52:13.3,5876700,1038.5858,2.4338605,0
153,52:13.3,5908704,1039.0081,2.3891337,0
154,52:13.3,5940704,1040.5521,2.0800142,0
155,52:13.4,5972688,1038.4561,2.5696681,0
156,52:13.4,6004696,1038.5033,2.352354,0
157,52:13.4,6036688,1036.7511,2.2502189,0
158,52:13.4,6068692,1036.5493,2.3763943,0
159,52:13.5,6100692,1037.4808,2.3597903,0
160,52:13.5,6132680,1040.1644,2.2062013,0
161,52:13.5,6164664,1039.4449,2.0031919,0
162,52:13.6,6196660,1037.9833,2.4325569,0
163,52:13.6,6228672,1039.5469,2.4160018,0
164,52:13.6,6260672,1037.5388,2.3429694,0
165,52:13.7,6292680,1040.5553,2.338506,0
166,52:13.7,6324684,1036.1692,2.4433725,0
167,52:13.7,6356684,1039.5126,2.3436775,0
168,52:13.8,6388688,1032.5208,2.7400787,0
169,52:13.8,6420684,1037.5355,2.4399037,0
170,52:13.8,6452688,1033.3882,2.1727705,0
171,52:13.9,6484684,1035.8123,2.1986957,0
172,52:13.9,6516692,1037.0504,2.345552,0
173,52:13.9,6548688,1034.9684,2.169245,0
174,52:14.0,6580696,1039.1102,2.4618959,0
175,52:14.0,6612700,1038.5371,2.2481225,0
176,52:14.0,6644696,1038.1449,2.4528356,0
177,52:14.0,6676700,1035.8998,2.3903515,0
178,52:14.1,6708704,1039.522,2.4680119,0
179,52:14.1,6740708,1039.45,2.4708993,0
180,52:14.2,6772720,1034.4563,2.1141822,0
181,52:14.2,6804716,1037.026,2.387574,0
182,52:14.2,6836716,1035.3062,2.2469442,0
183,52:14.3,6868716,1034.0525,2.0567834,0
184,52:14.3,6900712,1036.2007,2.1528687,0
185,52:14.3,6932716,1040.7472,2.1073294,0
186,52:14.3,6964716,1036.6268,2.3214557,0
187,52:14.4,6996724,1039.2888,2.4476688,0
188,52:14.4,7028752,1039.8367,2.3280156,0
189,52:14.4,7060752,1040.9088,2.4051962,0
190,52:14.5,7092752,1036.4003,2.449594,0
191,52:14.5,7124748,1034.9253,2.6313007,0
192,52:14.5,7156748,1032.0602,2.2092204,0
193,52:14.6,7188732,1032.293,2.2352695,0
194,52:14.6,7220736,1034.7502,2.4035621,0
195,52:14.6,7252728,1037.8439,2.1066248,0
196,52:14.7,7284728,1038.8424,2.2991962,0
197,52:14.7,7316740,1039.7651,2.0957797,0
198,52:14.7,7348748,1038.7717,2.4168448,0
199,52:14.8,7380756,1042.4017,2.3546293,0
200,52:14.8,7412756,1039.3998,2.4619904,0
201,52:14.8,7444768,1039.078,2.4949169,0
202,52:14.9,7476776,1037.3315,2.155827,0
203,52:14.9,7508776,1036.923,2.5143919,0
204,52:14.9,7540784,1037.8129,2.2115507,0
205,52:14.9,7572776,1037.6149,2.0622523,0
206,52:15.0,7604780,1040.7819,2.2092466,0
207,52:15.0,7636780,1037.0593,2.3335848,0
208,52:15.1,7668784,1040.276,2.3466187,0
209,52:15.1,7700780,1038.5905,2.5850477,0
210,52:15.1,7732788,1037.1761,2.4341116,0
211,52:15.1,7764788,1037.0228,2.5736969,0
212,52:15.2,7796792,1036.4705,2.6385024,0
213,52:15.2,7828788,1035.2661,2.5856557,0
214,52:15.2,7860796,1035.8999,2.6368694,0
215,52:15.3,7892816,1034.5565,2.3923352,0
216,52:15.3,7924820,1032.3462,2.0739188,0
217,52:15.3,7956828,1038.4983,2.2331331,0
218,52:15.4,7988836,1036.4426,2.2364798,0
219,52:15.4,8020836,1037.0034,2.2070191,0
220,52:15.4,8052824,1039.209,2.410768,0
221,52:15.4,8084832,1039.4541,2.5535116,0
222,52:15.5,8116832,1039.5919,2.3832304,0
223,52:15.5,8148832,1035.9653,2.3191478,0
224,52:15.6,8180836,1036.4778,2.4757946,0
225,52:15.6,8212852,1037.6033,2.1578376,0
226,52:15.6,8244860,1036.8071,2.1029191,0
227,52:15.7,8276860,1039.9147,2.4332507,0
